종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"155660","DSR","KOSPI",,"3890","-30","-0.77","3920","3925","3880","3775","14693605","62240000000","16000000"
"069730","DSR제강","KOSPI",,"3930","40","1.03","3890","3970","3890","20878","82075047","56592000000","14400000"
"017860","DS단석","KOSPI",,"19300","10","0.05","19290","19490","19190","19577","378773150","339375291600","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","1427","-319","-18.27","1734","1734","1319","1125823","1640215200","70236129464","49219432"
"092780","DYP","KOSPI",,"3420","15","0.44","3440","3445","3405","4937","16883785","45036133200","13168460"
"017940","E1","KOSPI",,"87300","-900","-1.02","88900","88900","87000","6622","580550150","598878000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","1548","9","0.58","1551","1585","1540","24465","38145047","19892538396","12850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","5530","10","0.18","5550","5640","5530","3816","21187190","47696095160","8624972"
"278990","EMB","KONEX","일반기업부","3000","-100","-3.23","2900","3095","2705","66","186720","24194331000","8064777"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4145","-15","-0.36","4190","4195","4135","182052","756880332","1020038905000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","3060","-100","-3.16","3150","3190","3050","7586","23341970","41506103160","13564086"
"383220","F&F","KOSPI",,"77200","-1600","-2.03","79100","79600","76600","40160","3114349900","2957306190000","38307075"
"007700","F&F홀딩스","KOSPI",,"20750","-100","-0.48","20850","21100","20650","5610","116514475","811623115250","39114367"
"214270","FSN","KOSDAQ","중견기업부","1846","47","2.61","1799","1859","1799","123359","227508747","80653510314","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2450","25","1.03","2440","2465","2425","23858","58125233","35635377400","14545052"
"114090","GKL","KOSPI",,"15190","200","1.33","15050","15290","14950","92125","1393226700","939587627300","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3200","70","2.24","3130","3255","3130","137411","440060700","258720000000","80850000"
"078930","GS","KOSPI",,"55300","0","0.00","55800","55800","54900","81993","4525729700","5138220403400","92915378"
"083450","GST","KOSDAQ","우량기업부","25250","1550","6.54","24150","25300","24150","178438","4424857975","465357500000","18430000"
"006360","GS건설","KOSPI",,"19960","-90","-0.45","20250","20450","19940","204981","4122105920","1708206540400","85581490"
"001250","GS글로벌","KOSPI",,"2380","15","0.63","2370","2390","2370","137556","327578346","196430358320","82533764"
"007070","GS리테일","KOSPI",,"21700","-50","-0.23","22000","22000","21600","42257","918748575","1814280905500","83607415"
"078935","GS우","KOSPI",,"47700","150","0.32","47550","47800","47500","2629","125193550","85136200200","1784826"
"499790","GS피앤엘","KOSPI",,"43000","0","0.00","43800","44400","42600","61709","2651193325","852726163000","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2110","70","3.43","2070","2115","2060","248917","521137685","154327328540","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2415","5","0.21","2475","2475","2405","286461","694760260","66428028450","27506430"
"078150","HB테크놀러지","KOSDAQ","우량기업부","1887","50","2.72","1850","1896","1850","372337","698826181","174954933492","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","2920","20","0.69","2920","2955","2900","10938","32119575","106109082840","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","736","-2","-0.27","738","745","730","73847","54615853","93964770400","127669525"
"012630","HDC","KOSPI",,"17740","400","2.31","17550","17880","17350","52956","936144515","1059818130540","59741721"
"039570","HDC랩스","KOSPI",,"8520","-10","-0.12","8540","8540","8490","7009","59760560","221158760520","25957601"
"089470","HDC현대EP","KOSPI",,"4310","-50","-1.15","4360","4360","4300","17764","76895980","137489000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"21150","-150","-0.70","21450","21600","21050","127836","2714873275","1393940029500","65907330"
"009540","HD한국조선해양","KOSPI",,"417500","-3500","-0.83","425000","426500","415000","67758","28514448750","29547775930000","70773116"
